id,registration,make,model,primaryColour,fuelType
39114483,BO55HHH,MERCEDES-BENZ,E,Grey,Diesel
39130601,BO55TBM,ISUZU,RODEO,Silver,Diesel
39135359,BO55AWZ,AUDI,A4,Black,Diesel
39195261,BO55PBE,"LAND ROVER",DISCOVERY,Silver,Diesel
39266120,BO55GVB,FERRARI,F430,Red,Petrol
39271908,BO55VPL,BMW,X6,Silver,Diesel
39274282,BO55DJG,HARLEY-DAVIDSON,FXDF,Red,Petrol
39275074,BO55HOM,INFINITI,M,Silver,Petrol
39532688,BO55LSJ,AUDI,A8,Black,Diesel
39759693,BO55NWY,VOLKSWAGEN,CADDY,Blue,Diesel
39860614,BO55MOU,MERCEDES-BENZ,GLC,Grey,Diesel
39893073,BO55SAD,RENAULT,TRAFIC,Silver,Diesel
39980373,BO55SWY,PEUGEOT,2008,White,Diesel
40098687,BO55NWS,BENTLEY,CONTINENTAL,Black,Petrol
40098807,BO55GRK,FORD,RANGER,Black,Diesel
40135244,BO55BNJ,MERCEDES-BENZ,"GLC 300 AMG LNE PREM + DE 4M A",Black,"Electric Diesel"
40142231,BO55DPV,AUDI,R8,Black,Petrol
40165803,BO55GNL,"LAND ROVER","RANGE ROVER EVOQUE",Black,Diesel
40405201,BO55BDM,FORD,RANGER,Black,Diesel
40427179,BO55ACC,MERCEDES-BENZ,"GLC 300 AMG LINE PREM + D 4M A",Grey,Diesel
40435095,BO55FGE,FORD,"TRANSIT CONNECT",White,Diesel
40489688,BO55EHD,VOLKSWAGEN,AMAROK,Grey,Diesel
40637933,BO55MXC,VAUXHALL,VIVARO,Silver,Diesel
40677416,BO55HJG,JAGUAR,I-PACE,Black,Electric
40718610,BO55FAL,FORD,F150,Grey,"Hybrid Electric (Clean)"
40776164,BO55CJX,VOLKSWAGEN,GOLF,Silver,Petrol
40907159,BO55CRL,RENAULT,TRAFIC,Silver,Diesel
40939845,BO55ROH,VAUXHALL,ASTRA,White,Petrol
41003572,BO55CBF,FORD,FIESTA,Yellow,Petrol
41268285,BO55LYE,PEUGEOT,207,Red,Diesel
41310838,BO55JKT,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
41338495,BO55PRF,TOYOTA,"LAND CRUISER",Green,Diesel
41508179,BO55ARR,AUDI,A4,White,Diesel
41621701,BO55XFA,TOYOTA,"LAND CRUISER",Silver,Diesel
41776456,BO55PYZ,"LAND ROVER","RANGE ROVER",Grey,Diesel
42059995,BO55CRV,HONDA,CR-V,Silver,Petrol
42102204,BO55RDY,"LAND ROVER","RANGE ROVER SPORT",Black,Petrol
42257374,BO55DLL,"LAND ROVER",DEFENDER,Blue,Diesel
42365951,BO55OXF,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
42365952,BO55EBX,"LAND ROVER","RANGE ROVER SPORT",White,Diesel
42388194,BO55TVW,VOLKSWAGEN,PASSAT,White,Diesel
42407994,BO55EVD,KAWASAKI,ZX6R,Black,Petrol
42412078,BO55RHE,VOLKSWAGEN,POLO,Grey,Diesel
42879193,BO55BTA,JAGUAR,XJ,Blue,Diesel
42934559,BO55OXX,YAMAHA,FJR1300A,Black,Petrol
43111024,BO55JPN,SUBARU,IMPREZA,Black,Petrol
43239630,BO55KPC,PORSCHE,PANAMERA,White,Diesel
43273446,BO55KCY,BMW,120,Blue,Diesel
43283989,BO55CRX,"DODGE (USA)",RAM,Blue,Petrol
43291654,BO55DFT,NISSAN,QASHQAI,White,Diesel
43320715,BO55FRX,VOLKSWAGEN,GOLF,Grey,Diesel
43409330,BO55ORT,KIA,"XCEED 2 ISG",Brown,Petrol
