registration,make,model,primaryColour,fuelType
BO55DWH,FIAT,DUCATO,White,Diesel
BO55DXG,AUDI,A5,White,Petrol
BO55EBP,FORD,MONDEO,Silver,Diesel
BO55EEC,PORSCHE,BOXSTER,Black,Petrol
BO55EET,BMW,I8,Silver,"Hybrid Electric (Clean)"
BO55ENB,FORD,TRANSIT,White,Diesel
BO55ENX,BMW,"X7 XDRIVE40D M SPORT MHEV AUTO",Black,"Electric Diesel"
BO55FOL,"LAND ROVER","DISCOVERY SPORT",Black,Diesel
BO55FSL,"LAND ROVER","RANGE ROVER SPORT",Blue,Diesel
BO55GAO,BMW,740,Blue,Petrol
BO55GKD,VAUXHALL,ADAM,White,Petrol
BO55GMH,BMW,"7 SERIES",Blue,Petrol
BO55GPJ,FORD,FIESTA,Brown,Petrol
BO55GSR,AUDI,A5,Black,Petrol
BO55GSU,AUDI,A3,Black,Diesel
BO55HJF,AUDI,Q2,Grey,Petrol
BO55HKB,MERCEDES-BENZ,E,White,Diesel
BO55HNS,AUDI,Q7,White,Diesel
BO55JAH,JAGUAR,"F-PACE S PHEV AWD AUTO",Blue,"Hybrid Electric (Clean)"
BO55JAJ,AUDI,A5,Black,Diesel
BO55JBB,SEAT,IBIZA,White,Petrol
BO55JHD,JAGUAR,XKR,Blue,Petrol
BO55JOZ,AUDI,Q5,Grey,Petrol
BO55JRN,VOLKSWAGEN,SCIROCCO,Black,Diesel
BO55JWP,"LAND ROVER",DISCOVERY,Grey,Diesel
BO55KFX,FORD,MUSTANG,Red,Petrol
BO55KGE,FORD,KUGA,White,Diesel
BO55KHS,AUDI,TT,Multi-colour,Diesel
BO55KRK,"LAND ROVER","DEFENDER SE D AUTO",Black,Diesel
BO55KVD,"LAND ROVER","RANGE ROVER SPORT",Black,Petrol
BO55LDJ,FORD,TRANSIT,White,Diesel
BO55LGO,MERCEDES-BENZ,C,Black,Petrol
BO55LPE,"LAND ROVER","DEFENDER HARD TOP SE D MHEV A",Black,Diesel
BO55LUE,FIAT,500,Pink,Petrol
BO55MKM,MERCEDES-BENZ,S-Class,Black,Diesel
BO55MMB,FORD,TRANSIT,White,Diesel
BO55MPS,TOYOTA,HILUX,White,Diesel
BO55MVA,"MV AGUSTA",F4,Red,Petrol
BO55NGG,AUDI,A7,Silver,Diesel
BO55NHU,"LAND ROVER","DEFENDER HARD TOP D MHEV AUTO",White,Diesel
BO55NOT,"LAND ROVER","DISCOVERY METRO ED D MHEV A",Black,Diesel
BO55NTD,AUDI,A4,Black,Petrol
BO55OEL,BMW,750,White,Petrol
BO55PBG,AUDI,A5,Black,Diesel
BO55PFG,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
BO55PJW,"LAND ROVER","R ROVER EVOQUE RDYN SE DMHEV A",White,Diesel
BO55PLB,VAUXHALL,VIVARO,White,Diesel
BO55PPK,MERCEDES-BENZ,SL,Black,Petrol
BO55PPL,SSANGYONG,RODIUS,Grey,Diesel
BO55PRL,MERCEDES-BENZ,C,Silver,Diesel
BO55PXX,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
BO55RAG,PORSCHE,"TAYCAN 4S 79KWH",Blue,Electric
BO55RMF,FORD,RANGER,White,Diesel
BO55RMR,MERCEDES-BENZ,CLS,Black,Diesel
BO55RNH,"LAND ROVER","RANGE ROVER SPORT",Silver,Diesel
BO55RPK,FORD,EDGE,Orange,Diesel
BO55RTM,AUDI,"S3 TFSI QUATTRO S-A",Grey,Petrol
BO55RTU,AUDI,A5,Black,Diesel
BO55RUK,MASERATI,GRANTURISMO,White,Petrol
BO55SDA,LEXUS,RX400H,Black,Electric
BO55SFO,FORD,"RANGER WILDTRAK ECOBLUE 4X4 A",White,Diesel
BO55SJA,MERCEDES-BENZ,C,Black,Diesel
BO55SKK,MERCEDES-BENZ,A,Grey,Petrol
BO55SKW,MERCEDES-BENZ,"GLC 300 AMG LINE PREM + E 4M A",Blue,"Hybrid Electric (Clean)"
BO55SLP,BMW,"M4 COMPETITION AUTO",Grey,Petrol
BO55SPW,VOLKSWAGEN,TRANSPORTER,White,Diesel
BO55SWR,MERCEDES-BENZ,C,White,Petrol
BO55SYG,AUDI,A5,Grey,Diesel
BO55TAP,"LAND ROVER","RANGE ROVER SPORT",Red,Diesel
BO55TEC,JAGUAR,XKR,Red,Petrol
BO55TEP,MERCEDES-BENZ,ML,Black,Diesel
BO55TFR,PORSCHE,CAYENNE,Blue,Petrol
BO55TJP,VOLKSWAGEN,CADDY,White,Diesel
BO55TJU,JAGUAR,F-PACE,White,Diesel
BO55TLF,MERCEDES-BENZ,SPRINTER,Black,Diesel
BO55TLX,MERCEDES-BENZ,C,White,Diesel
BO55TMW,MITSUBISHI,L200,Black,Diesel
BO55TOY,"LAND ROVER","RANGE ROVER",Black,Diesel
BO55TYN,FORD,RANGER,White,Diesel
BO55UBY,PORSCHE,CAYENNE,Grey,Diesel
BO55UML,AUDI,"S5 EDITION 1 TDI MHEV QUAT A",Grey,Diesel
BO55VHS,VOLKSWAGEN,TOUAREG,Grey,Diesel
BO55VJD,FORD,"RANGER WILDTRAK ECOBLUE 4X4 A",Grey,Diesel
BO55VMX,TRIUMPH,TIGER,Green,Petrol
BO55WDY,BMW,430,Grey,Petrol
BO55WFB,BMW,"X5 XDRIVE30D M SPORT MHEV AUTO",Blue,"Electric Diesel"
BO55WFF,FORD,RANGER,White,Diesel
BO55WHR,FERRARI,CALIFORNIA,Red,Petrol
BO55WMW,FORD,"TRANSIT CUSTOM",Grey,Diesel
BO55WOD,MERCEDES-BENZ,A-CLASS,Black,Petrol
BO55WRM,VOLKSWAGEN,CADDY,White,Diesel
BO55WSR,BMW,420,Grey,Diesel
BO55WZH,TOYOTA,"COROLLA ICON TECH HEV CVT",White,"Hybrid Electric (Clean)"
BO55XCC,MINI,COUNTRYMAN,White,Diesel
BO55YCX,MITSUBISHI,L200,Pink,Diesel
BO55YLR,"LAND ROVER",DEFENDER,Blue,Diesel
BO55YNE,MITSUBISHI,L200,White,Diesel
BO55ZAT,BMW,X2,Grey,Diesel
BO55ZBX,"LAND ROVER","RANGE ROVER SPORT",Silver,Diesel
BO55ZEE,MERCEDES-BENZ,E,Black,Petrol
BO55ZGP,SUZUKI,GSXS,Red,Petrol
BO55ZKA,"LAND ROVER","RANGE ROVER SPORT",Black,Petrol
BO55ZMR,BMW,X5,Blue,Petrol
BO55ZTA,VAUXHALL,CORSA,Silver,Petrol
BO55ZXO,PEUGEOT,RCZ,Grey,Petrol
BO55VWW,VOLKSWAGEN,CRAFTER,White,Diesel
BO55FAF,BMW,118,White,Diesel
BO55PYP,FORD,TRANSIT,White,Diesel
BO55HUR,HARLEY-DAVIDSON,"FLTRXS RGLIDE SP 1868 22",Black,Petrol
BO55JUV,VAUXHALL,"ASTRA GS TURBO",Black,Petrol
BO55TSB,MERCEDES-BENZ,"GLE 350 AMG LINE PREM+ DE 4M A",White,"Electric Diesel"
BO55MEY,AUDI,"SQ8 BLACK EDITION TFSI QUAT A",Grey,Petrol
BO55WXM,TOYOTA,"ESTIMA HYBRID AHR20 AUTOMATIC",Black,"Hybrid Electric (Clean)"
BO55JLF,VOLKSWAGEN,CADDY,Black,Diesel
BO55AXO,BMW,"3 SERIES",Silver,Diesel
BO55HKZ,VOLKSWAGEN,GOLF,Black,Petrol
BO55YAK,MERCEDES-BENZ,GLC,Black,Petrol
BO55VNC,MERCEDES-BENZ,E,Black,Diesel
BO55TUM,VOLKSWAGEN,GOLF,White,Diesel
BO55XXJ,MERCEDES-BENZ,C,Black,"Hybrid Electric (Clean)"
BO55AFE,FIAT,SCUDO,Grey,Diesel
BO55AFM,AUDI,A5,White,Petrol
BO55AHY,VOLKSWAGEN,PASSAT,Grey,Diesel
BO55AHZ,BMW,X5,Black,"Hybrid Electric (Clean)"
BO55ALL,BMW,740,Grey,Petrol
BO55AMU,VOLKSWAGEN,GOLF,White,Diesel
BO55AMX,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
BO55APZ,BMW,"M3 COMPETITION AUTO",Red,Petrol
BO55ARM,IVECO,"DAILY 35S14B AUTO",White,Diesel
BO55AUZ,FORD,KUGA,Grey,Diesel
BO55AWW,BMW,"3 SERIES",White,Petrol
BO55BGA,FORD,TRANSIT,White,Diesel
BO55BWB,"LAND ROVER",DISCOVERY,Grey,Diesel
BO55BWW,MERCEDES-BENZ,E,White,Diesel
BO55BXX,JEEP,WRANGLER,Black,Diesel
BO55CJR,HYUNDAI,"KONA PREMIUM SE GDI HEV S-A",Red,"Hybrid Electric (Clean)"
BO55CLH,BMW,"X6 XDRIVE30D M SPORT AUTO",White,Diesel
BO55CLV,VOLKSWAGEN,GOLF,Black,Diesel
BO55COB,"GBS ZERO","",White,Petrol
BO55DJK,MERCEDES-BENZ,A-CLASS,White,Diesel
BO55DJR,AUDI,A6,Green,Petrol
BO55DNV,MERCEDES-BENZ,GLS,Black,Diesel
BO55DOY,BMW,"3 SERIES",Grey,Petrol
BO55DPV,AUDI,R8,Black,Petrol
BO55DRD,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
BO55EJF,FORD,TRANSIT,Blue,Diesel
BO55ENV,MERCEDES-BENZ,"S 350 GRAND ED EXECUTIVE D A",White,Diesel
BO55ERJ,VOLKSWAGEN,"TRANSPORTER T32 HIGHLINE TDI",Bronze,Diesel
BO55EVM,AUDI,"RS6 PRFM CRBNVOR TFSI MHEV Q A",Black,Petrol
BO55FJK,HONDA,"Z 125 MA-K",Yellow,Petrol
BO55FLO,PORSCHE,CAYENNE,Blue,"Hybrid Electric (Clean)"
BO55FMR,NISSAN,NAVARA,Silver,Diesel
BO55FOW,VOLVO,UNKNOWN,Black,Diesel
BO55GBA,VOLKSWAGEN,TRANSPORTER,Grey,Diesel
BO55GBD,FORD,TRANSIT,White,Diesel
BO55GBW,"LAND ROVER",DISCOVERY,Grey,Diesel
BO55GCG,VOLKSWAGEN,CADDY,White,Diesel
BO55GDL,VAUXHALL,CORSA,Grey,Diesel
BO55GJN,"LAND ROVER","RANGE ROVER",Black,Petrol
BO55GKC,VOLKSWAGEN,"TRANSPORTER T32 SPRT LN TDI SA",Black,Diesel
BO55GOG,MERCEDES-BENZ,E,Silver,Diesel
BO55GOZ,"LAND ROVER",DISCOVERY,White,Diesel
BO55GRY,VOLKSWAGEN,"GOLF R-LINE TSI",Blue,Petrol
BO55HEL,AUDI,A4,Silver,Petrol
BO55HFL,FORD,"TRANSIT CUSTOM",White,Diesel
BO55HPA,AUDI,A3,White,Diesel
BO55HRE,FORD,TRANSIT,Red,Diesel
BO55HUA,MERCEDES-BENZ,C,White,Petrol
BO55HWD,JAGUAR,F-PACE,White,Diesel
BO55HYG,BMW,430,Silver,Petrol
BO55HZZ,BMW,X6,Black,Diesel
BO55JDP,"ROLLS ROYCE",GHOST,Brown,Petrol
BO55JGP,FORD,RANGER,Orange,Diesel
BO55JJX,FORD,TRANSIT,White,Diesel
BO55JMO,BMW,"3 SERIES",Grey,Petrol
BO55JPP,AUDI,A3,Red,Diesel
BO55JPR,PORSCHE,"TAYCAN 4S 93KWH",Silver,Electric
BO55JRR,AUDI,Q7,White,Diesel
BO55JSU,AUDI,Q7,White,Diesel
BO55JUS,HONDA,CR-V,Black,Petrol
BO55JYC,MERCEDES-BENZ,C,Black,Diesel
BO55KAA,MERCEDES-BENZ,C,White,Diesel
BO55KMM,VAUXHALL,CORSA,Black,Petrol
BO55KPK,"LAND ROVER","RANGE ROVER SPORT",Grey,Diesel
BO55LAL,BMW,"1 SERIES",Red,Diesel
BO55LGS,FORD,MUSTANG,Black,Petrol
BO55LHT,AUDI,A4,Brown,Diesel
BO55LOK,AUDI,R8,Black,Petrol
BO55LVJ,VOLKSWAGEN,POLO,Black,Petrol
BO55MOU,MERCEDES-BENZ,GLC,Grey,Diesel
BO55MRA,YAMAHA,"MWS125-A TRICITY 125",Blue,Petrol
BO55MVP,PEUGEOT,3008,Black,Diesel
BO55NOE,FORD,"TRANSIT CUSTOM 280LIMITD EBLUE",Grey,Diesel
BO55NRT,MITSUBISHI,"L200 BARBARIAN X DI-D AUTO",Red,Diesel
BO55NUT,VOLKSWAGEN,CRAFTER,White,Diesel
BO55NUZ,MERCEDES-BENZ,"GLC 300 AMG LINE PREM + D 4M A",Black,Diesel
BO55NWF,"LAND ROVER","DEFENDER HARD TOP D MHEV AUTO",Grey,Diesel
BO55OBB,MERCEDES-BENZ,C,Black,Diesel
BO55OKR,"LAND ROVER","RANGE ROVER",Grey,Diesel
BO55OON,MERCEDES-BENZ,C,Black,Petrol
BO55OXA,"LAND ROVER","RANGE ROVER",Grey,Diesel
BO55OXL,BMW,"X7 XDRIVE40D M SPORT MHEV AUTO",Grey,"Electric Diesel"
BO55PKS,FORD,RANGER,Grey,Diesel
BO55PNU,FORD,TRANSIT,White,Diesel
BO55PRR,FORD,KUGA,White,Petrol
BO55PSH,MERCEDES-BENZ,SPRINTER,White,Diesel
BO55PSR,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
BO55PUF,NISSAN,QASHQAI,White,Petrol
BO55PUN,BMW,420,Black,Petrol
BO55PWL,"LAND ROVER","RANGE ROVER",Grey,Diesel
BO55RJL,"LAND ROVER","RANGE ROVER AUTOBIO MHEV AUTO",Black,Petrol
BO55RLL,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
BO55RTS,"LAND ROVER",DISCOVERY,Black,Diesel
BO55RYN,FORD,"TRANSIT COURIER",Silver,Diesel
BO55SCF,VOLKSWAGEN,"TOUAREG V6 BLACK EDITION TDI A",Silver,Diesel
BO55SKL,FORD,FOCUS,Blue,Petrol
BO55SLX,BMW,118,Grey,Petrol
BO55SPA,FORD,TRANSIT,Silver,Diesel
BO55SRY,AUDI,R8,Black,Petrol
BO55STH,BENTLEY,"CONTINENTAL GT V8 AUTO",Black,Petrol
BO55STV,SUPERBYKE,"RFX 125",Black,Petrol
BO55STY,VOLKSWAGEN,PASSAT,Grey,Diesel
BO55SWB,VOLKSWAGEN,CRAFTER,White,Diesel
BO55TBY,MERCEDES-BENZ,CLS,Black,Petrol
BO55TRY,BMW,316,Green,Petrol
BO55TWJ,VAUXHALL,VIVARO,White,Diesel
BO55UAE,"LAND ROVER","RANGE ROVER SPORT",Green,Petrol
BO55URY,AUDI,Q5,Blue,Petrol
BO55VET,"LAND ROVER",DEFENDER,Black,Diesel
BO55VNA,BENTLEY,BENTAYGA,Black,Petrol
BO55WJG,"LAND ROVER","RANGE ROVER SPORT",Grey,Diesel
BO55WML,"LAND ROVER","RANGE ROVER",Grey,Diesel
BO55WTC,VOLKSWAGEN,AMAROK,Black,Diesel
BO55XJT,NISSAN,NAVARA,Black,Diesel
BO55XLV,"LAND ROVER",UNKNOWN,Grey,Diesel
BO55XST,AUDI,"RS 7 CRBN BLK TFSI MHEV QUAT A",Black,Petrol
BO55YSN,AUDI,A3,White,Diesel
BO55ZAF,BMW,X5,White,Diesel
BO55ZOM,MERCEDES-BENZ,A,Blue,Diesel
BO55RJV,NISSAN,UNKNOWN,White,Petrol
BO55RUZ,BMW,X4,Black,Diesel
BO55ZEM,LEXUS,RX,Silver,"Hybrid Electric (Clean)"
BO55VBR,VOLKSWAGEN,BEETLE,White,Petrol
BO55RCR,VAUXHALL,VIVARO,Red,Diesel
BO55ZSP,BMW,"3 SERIES",Grey,Petrol
BO55EBR,FORD,TRANSIT,White,Diesel
BO55AOE,FORD,TRANSIT,White,Diesel
BO55SNN,BMW,X5,Black,Diesel
BO55XSJ,BMW,"116I M SPORT AUTO",White,Petrol
